id,pn,name,googled,Eigentümer,Betreiber,unknonw,Dynastie,Quelle
,114,Burger King,1,Carl Dirnbacher (WPK Restaurant GmbH); Stand: 2016,Carl Dirnbacher (WPK Restaurant GmbH),FALSE,,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=af9bf6e8-bacf-4eaa-9a03-4241cb2956d2
,109,Zum Weißen Rössl,1,,Dritan Ahmeti,FALSE,,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=2e9e8bf2-2848-4606-8095-c125f2370c9f
,109,Eisstand,,,,TRUE,,
,110a,Gun Shot,1,,Alexander Lang,FALSE,Brantusa,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=f872a802-bfc8-411c-8576-310edaaf7b1d
,110b,Top Ten,1,,Renate Gruber,FALSE,Gruber,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=3faa1cb4-a778-44f2-9aae-7b55dc840e19
,111,Mascerade,,,Johann Dallinger (Johann Dallinger GmbH),FALSE,Dallinger,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=1c8f6bec-ded7-45de-8941-3b437f41294e
,111,Cafe Mascerade,1,,,TRUE,,
,111,Souvenirshop,,,,TRUE,,
,17,Extasy,1,,Katja Kolnhofer,FALSE,Kolnhofer,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=a883c80a-e725-42ce-86ba-03e923342bb2
,17,Geisterschloss,1,,Katja Kolnhofer,FALSE,Kolnhofer,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=a883c80a-e725-42ce-86ba-03e923342bb2
,17,Bumper Boote,1,,,TRUE,,
,18,Knusperhäuschen,1,Johann Dallinger; Stand: 2016,Johann Dallinger (Johann Dallinger GmbH),FALSE,Dallinger,http://www.wien-prater.at/Betriebe.aspx
,18,Eisladen,1,,Sabine Sulzer,FALSE,,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=516993de-3d53-4476-8dd1-41f30dbe7767
,18,Ball*Star Verlosungsspiel,1,,Johann Dallinger (Johann Dallinger GmbH),FALSE,Dallinger,via Email auf http://www.prater.at/Ball_Star/ / http://www.wien-prater.at/Betriebe.aspx
,50a,Sombrero,1,,Christian Sittler,FALSE,Sittler,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=d1b19a80-0818-4acd-9766-d2db5412b737
,50a,Zug des Manitu,,,Christian Sittler,FALSE,Sittler,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=d1b19a80-0818-4acd-9766-d2db5412b737
,50b,Hotel Psycho,,,"Elisabeth Brantusa, Karl Lang (CALAFATI Freizeitanlagen GmbH)",FALSE,Brantusa,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=26710351-2449-4597-adf6-0ed1ab21e804
,48,Süßes Paradies,1,,,TRUE,,
,54,Speed-Wave,,,Claudia Ilonka Riedl,FALSE,Riedl,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=45ed3444-23e8-4f70-bbe1-f1b999eea7f3
